시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 구로구 개봉동,489,489,0,개봉동현대아이파크,84.98,202307,7,"84,000",16,2006,개봉로2길 133-15,,20230725,중개거래,서울 구로구
서울특별시 구로구 개봉동,489,489,0,개봉동현대아이파크,84.98,202307,13,"82,000",4,2006,개봉로2길 133-15,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,489,489,0,개봉동현대아이파크,84.98,202307,15,"85,000",5,2006,개봉로2길 133-15,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,492,492,0,개봉푸르지오,84.83,202307,4,"83,000",11,2014,남부순환로 775,,20230908,중개거래,서울 구로구
서울특별시 구로구 개봉동,492,492,0,개봉푸르지오,71.49,202307,8,"79,000",23,2014,남부순환로 775,,20231006,중개거래,서울 구로구
서울특별시 구로구 개봉동,492,492,0,개봉푸르지오,59.9,202307,15,"65,000",16,2014,남부순환로 775,,20230808,중개거래,서울 구로구
서울특별시 구로구 개봉동,492,492,0,개봉푸르지오,84.94,202307,16,"84,500",7,2014,남부순환로 775,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,492,492,0,개봉푸르지오,71.49,202307,18,"80,000",3,2014,남부순환로 775,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,492,492,0,개봉푸르지오,84.94,202307,22,"83,000",20,2014,남부순환로 775,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,472,472,0,두산,84.96,202307,3,"62,700",13,1997,남부순환로95길 88,,20230908,중개거래,"서울 강서구, 서울 구로구"
서울특별시 구로구 개봉동,470,470,0,삼환,84.945,202307,8,"63,000",9,1995,남부순환로95길 54,,20231006,중개거래,서울 구로구
서울특별시 구로구 개봉동,470,470,0,삼환,114.48,202307,13,"64,600",19,1995,남부순환로95길 54,, ,중개거래,"서울 구로구, 서울 동대문구"
서울특별시 구로구 개봉동,470,470,0,삼환,114.48,202307,14,"68,000",4,1995,남부순환로95길 54,20231011, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,470,470,0,삼환,84.945,202307,18,"68,000",12,1995,남부순환로95길 54,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,470,470,0,삼환,114.48,202307,19,"65,500",2,1995,남부순환로95길 54,,20230831,중개거래,서울 구로구
서울특별시 구로구 개봉동,473,473,0,상우,84.06,202307,9,"55,700",17,1997,남부순환로97길 50,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,170-30,170,30,신개봉삼환,84.99,202307,8,"55,000",1,2001,경인로38길 13,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202307,1,"62,500",19,1999,경인로 382,,20230727,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,149.97,202307,5,"106,000",9,1999,경인로 382,,20230824,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202307,8,"67,500",10,1999,경인로 382,,20230913,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202307,17,"66,500",8,1999,경인로 382,,20230831,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202307,22,"65,000",13,1999,경인로 382,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,149.97,202307,28,"105,000",23,1999,경인로 382,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,478,478,0,한진,59.95,202307,1,"49,800",18,2000,개봉로3길 87,,20230915,중개거래,서울 구로구
서울특별시 구로구 개봉동,478,478,0,한진,59.95,202307,11,"47,800",15,2000,개봉로3길 87,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,59.94,202307,7,"64,750",10,2001,개봉로20길 6,,20230831,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,84.99,202307,7,"76,000",4,2001,개봉로20길 6,,20231004,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,59.94,202307,14,"60,500",1,2001,개봉로20길 6,,20231006,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,84.99,202307,17,"72,500",1,2001,개봉로20길 6,,20231006,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,84.99,202307,21,"75,500",10,2001,개봉로20길 6,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,59.94,202307,22,"65,400",15,2001,개봉로20길 6,,20230727,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,84.99,202307,25,"77,000",4,2001,개봉로20길 6,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,480,480,0,현대홈타운,84.915,202307,8,"77,000",10,2001,개봉로20길 158,,20230906,중개거래,서울 구로구
서울특별시 구로구 개봉동,480,480,0,현대홈타운,115,202307,8,"86,000",19,2001,개봉로20길 158,,20230822,중개거래,"서울 구로구, 서울 양천구"
서울특별시 구로구 개봉동,480,480,0,현대홈타운,59.49,202307,8,"59,000",16,2001,개봉로20길 158,, ,중개거래,"경기 부천시, 서울 구로구"
서울특별시 구로구 개봉동,480,480,0,현대홈타운,59.49,202307,29,"58,500",7,2001,개봉로20길 158,,20231005,중개거래,서울 구로구
